happy1,ID,tutorial,distance,direction,born,sports,awake,drink,breakfast,sleep,siblings,siblings_num,pets,beer,coffee,pineapple,pinky,OS,hand,energy,shoes,phone,apartment,room_mates,apps,countries,central_building,food_money,season,coffee_how,tall,bother,happy2
6,Weste5,MG_UWI,3,NW,380,"1,0",energized,water,yes,7,yes,2,4,2,3,No,"7,5",Microsoft,20,7,9,16,90,4,60,12,yes,150,Spring,milk,170,1,6
8,Hanss206,NC_UWI,48,NW,55,"1,0",awake,coffee,yes,6,yes,2,0,4,4,No,"6,0",Microsoft,22,6,3,168,39,3,23,28,yes,150,Summer,milk,168,1,8
7,Stran87,MG_UWI,"2,6",N,59,"4,0",awake,juice,yes,7,yes,2,0,2,3,Yes,"6,5",Both,18,8,12,15,35,1,58,12,yes,300,Summer,milk,189,3,8
6,Freiw9,MG_UWI,"7,3",SW,65,"10,0",tired,water,yes,7,yes,2,8,2,2,No,"7,0",Apple,20,6,20,16,53,1,63,5,yes,100,Summer,milk,163,3,6
8,Winke21,MG_UWI,"0,8",W,484,"4,0",drowsy,water,yes,8,yes,1,3,2,2,dontmind,"5,0",Microsoft,15,6,15,13,20,5,60,20,yes,130,Summer,Other,179,4,8
10,berga12,MG_UWI,"2,7",N,572,"4,0",tired,tea,yes,8,yes,1,0,3,2,Yes,"7,0",Apple,15,2,25,13,95,3,50,15,yes,300,Winter,Other,1865,2,10
7,Estew5h,MG_UWI,"2,1",SE,78,"2,0",awake,water,yes,8,yes,1,2,1,2,dontmind,"5,0",Microsoft,19,6,6,15,80,2,126,11,yes,150,Spring,milk,170,4,5
9,wilhe25,MG_UWI,"0,8",NW,424,"1,5",awake,water,yes,9,no,0,0,2,2,dontmind,"4,0",Apple,20,8,20,13,140,5,80,12,yes,120,Spring,Other,162,4,8
6,AHRST41,MG_UWI,5,SE,487,"2,0",tired,water,no,8,yes,1,1,2,2,No,"4,0",Apple,19,5,20,"15,4",140,2,56,11,yes,130,Winter,Other,167,9,6
6,Rober22,MG_UWI,2,S,700,"2,0",awake,tea,yes,8,yes,2,3,2,2,Yes,"7,0",Microsoft,20,6,10,"14,5",80,2,138,18,yes,220,Spring,Other,170,2,6
8,Hinri23,MG_UWI,2,S,320,"1,0",energized,tea,yes,8,yes,1,0,1,2,dontmind,"6,5",Microsoft,"19,5",8,9,14,80,2,80,11,yes,100,Spring,black,173,3,9
7,valle,MG_UWI,"2,3",NW,9340,"1,0",tired,water,yes,7,yes,1,9,3,3,dontmind,"5,7",Apple,"19,5",5,7,"15,5",80,2,80,12,No,300,Summer,milk,183,8,7
5,ambah31,MG_UWI,"0,5",W,180,"0,0",tired,tea,yes,8,no,0,5,2,2,No,"5,0",Microsoft,NA,4,8,12,70,2,60,6,yes,180,Spring,Other,167,6,5
7,Goldf11,MG_UWI,2,N,350,"1,0",energized,tea,yes,7,yes,2,3,10,4,No,"6,5",Microsoft,21,8,5,16,100,5,24,10,yes,300,Spring,milk,180,8,8
5,BERNE166,MG_UWI,3,NW,720,"3,0",tired,coffee,yes,8,yes,1,1,2,3,No,"5,0",Apple,NA,8,10,12,60,2,30,20,yes,300,Summer,milk,170,4,4
7,Aufde2,MG_UWI,2,NW,166,"4,0",tired,water,yes,8,yes,1,1,3,3,dontmind,"4,5",Microsoft,17,2,3,17,80,2,28,12,yes,480,Spring,Other,162,2,9
8,Muent24,MG_UWI,"0,5",W,40,"4,0",energized,tea,yes,8,yes,1,1,5,5,dontmind,"6,5",Microsoft,19,8,10,"16,5",80,1,146,10,yes,150,Summer,milk,175,6,8
5,BERNE166,MG_UWI,3,NW,720,"3,0",tired,coffee,yes,8,yes,1,1,2,3,No,"5,0",Apple,NA,8,10,12,60,2,30,20,yes,300,Summer,milk,170,4,4
6,KOENE3,MG_UWI,4,N,130,"1,0",awake,tea,yes,8,yes,1,4,1,1,Yes,"5,5",Microsoft,16,7,14,14,100,3,4,10,yes,130,Spring,Other,156,7,8
5,MARCO43,8_GESS,"0,1",N,1000,"2,0",tired,other,yes,5,yes,1,6,3,3,No,"5,5",Apple,"17,8",5,12,"11,6",60,2,21,10,yes,200,Spring,Other,169,7,5
9,KASTA1A,MG_UWI,0,NNW,100,"2,0",tired,tea,yes,7,yes,3,20,3,3,Yes,"6,0",Microsoft,17,6,30,15,45,1,38,25,yes,500,Summer,Other,169,7,9
