Date,Price,Open,High,Low,Vol.,Change %
06/07/2019,248.89,249.52,253.12,244.13,13.98K,-0.25%
06/08/2019,243.34,248.86,250.42,240.98,7.64K,-2.23%
06/09/2019,231.51,243.33,244.45,226.79,9.93K,-4.86%
06/10/2019,245.93,231.50,248.26,227.26,7.58K,6.23%
06/11/2019,244.28,245.93,247.52,236.95,31.24K,-0.67%
06/12/2019,260.94,244.28,260.94,242.69,56.28K,6.82%
06/13/2019,254.8,260.45,262.00,253.88,37.27K,-2.35%
06/14/2019,262.33,254.80,264.27,252.11,84.08K,2.96%
06/15/2019,267.79,262.54,271.78,260.73,66.32K,2.08%
06/16/2019,267.83,267.83,276.72,263.53,73.06K,0.01%
06/17/2019,273.0,267.75,274.52,266.77,83.86K,1.93%
06/18/2019,264.72,273.05,273.49,261.99,86.05K,-3.03%
06/19/2019,268.19,264.73,269.50,263.75,95.61K,1.31%
06/20/2019,271.32,268.16,273.48,265.81,204.87K,1.17%
06/21/2019,294.63,271.32,295.98,271.32,311.61K,8.59%
06/22/2019,310.77,294.79,314.11,292.47,351.76K,5.48%
06/23/2019,308.65,310.92,321.48,306.01,185.56K,-0.68%
06/24/2019,311.75,308.65,314.19,297.71,401.46K,1.01%
06/25/2019,318.13,311.77,318.89,307.91,396.91K,2.05%
06/26/2019,339.69,318.13,366.16,316.01,554.93K,6.78%
06/27/2019,298.8,339.69,346.67,280.18,713.98K,-12.04%
06/28/2019,311.43,298.77,313.45,295.60,652.48K,4.23%
06/29/2019,317.77,311.14,324.49,295.63,507.95K,2.03%
06/30/2019,291.91,317.77,323.49,289.56,592.58K,-8.14%
07/01/2019,295.15,292.73,303.36,280.39,605.30K,1.11%
07/02/2019,291.58,294.94,297.50,272.89,608.60K,-1.21%
07/03/2019,301.26,291.62,302.62,289.48,492.52K,3.32%
07/04/2019,283.28,301.24,303.00,280.56,366.01K,-5.97%
07/05/2019,287.56,282.64,294.36,281.25,438.11K,1.51%
07/06/2019,288.17,287.40,296.47,285.33,366.10K,0.21%
07/07/2019,304.71,288.17,309.67,284.51,374.98K,5.74%
07/08/2019,312.07,304.71,313.63,301.21,346.28K,2.41%
07/09/2019,307.41,312.01,317.85,303.02,378.11K,-1.49%
07/10/2019,289.07,307.28,314.36,280.88,503.20K,-5.97%
07/11/2019,268.48,289.08,289.08,262.21,599.25K,-7.12%
07/12/2019,274.58,268.62,278.61,266.46,464.47K,2.27%
07/13/2019,268.89,274.53,275.05,262.39,485.35K,-2.07%
07/14/2019,226.1,268.89,269.63,223.46,597.75K,-15.92%
07/15/2019,228.25,225.53,235.51,202.99,839.33K,0.95%
07/16/2019,198.93,228.24,234.46,193.05,664.85K,-12.84%
07/17/2019,210.8,199.00,219.31,192.14,644.15K,5.97%
07/18/2019,225.74,210.85,229.09,206.13,543.46K,7.08%
07/19/2019,220.76,225.74,226.16,213.70,470.03K,-2.20%
