"Date","Price","Open","High","Low","Vol.","Change %"
"08/09/2016","344.67","340.99","344.93","340.89","248.12M","0.92%"
"08/08/2016","341.53","341.37","343.05","340.98","226.37M","0.04%"
"08/05/2016","341.38","338.00","341.68","338.00","271.49M","1.05%"
"08/04/2016","337.84","336.33","338.49","336.09","273.16M","0.67%"
"08/03/2016","335.58","336.30","336.72","334.20","312.84M","0.03%"
"08/02/2016","335.47","339.46","339.46","335.07","351.32M","-1.29%"
"08/01/2016","339.86","342.66","344.09","339.25","348.54M","-0.59%"
"07/29/2016","341.89","340.56","342.14","339.66","329.98M","0.71%"
"07/28/2016","339.47","342.40","343.84","339.47","350.85M","-0.95%"
"07/27/2016","342.74","341.87","344.02","341.87","316.76M","0.43%"
"07/26/2016","341.26","340.42","342.19","338.92","250.74M","0.10%"
"07/25/2016","340.93","340.86","343.08","339.79","228.02M","0.18%"
"07/22/2016","340.33","340.24","340.73","338.13","235.52M","-0.07%"
"07/21/2016","340.58","341.27","341.81","338.36","300.79M","-0.07%"
"07/20/2016","340.81","337.93","340.85","337.62","255.49M","1.03%"
"07/19/2016","337.32","337.96","338.43","335.17","250.03M","-0.41%"
"07/18/2016","338.70","338.00","340.61","337.24","257.52M","0.23%"
"07/15/2016","337.92","338.23","338.84","336.19","278.89M","-0.17%"
"07/14/2016","338.50","336.55","339.88","336.55","316.63M","0.80%"
"07/13/2016","335.83","336.89","338.11","335.83","375.90M","-0.13%"
"07/12/2016","336.26","333.02","336.62","332.82","409.74M","1.06%"
"07/11/2016","332.72","328.44","333.00","327.65","336.08M","1.64%"
"07/08/2016","327.35","321.53","327.61","320.97","366.89M","1.62%"
"07/07/2016","322.12","320.24","324.70","320.24","325.73M","1.05%"
"07/06/2016","318.76","322.84","324.23","317.24","465.26M","-1.67%"
"07/05/2016","324.17","328.92","328.92","323.57","364.99M","-1.70%"
"07/04/2016","329.78","332.77","333.63","329.37","259.63M","-0.74%"
"07/01/2016","332.24","330.51","333.05","328.73","346.82M","0.72%"
"06/30/2016","329.88","325.62","329.88","323.41","486.19M","1.04%"
"06/29/2016","326.49","317.60","326.49","317.60","481.72M","3.09%"
"06/28/2016","316.70","311.45","319.29","311.45","523.19M","2.57%"
"06/27/2016","308.75","319.17","320.28","307.81","777.46M","-4.11%"
"06/24/2016","321.98","339.04","339.04","315.36","1.14B","-7.03%"
"06/23/2016","346.34","341.80","348.16","341.78","360.92M","1.47%"
"06/22/2016","341.32","340.93","343.57","339.25","286.96M","0.38%"
"06/21/2016","340.04","337.70","340.98","336.19","332.29M","0.70%"
"06/20/2016","337.67","328.84","338.38","328.84","361.68M","3.65%"
"06/17/2016","325.78","322.63","326.98","322.63","511.08M","1.40%"
"06/16/2016","321.29","321.27","321.94","318.51","376.77M","-0.72%"
"06/15/2016","323.63","321.35","325.47","321.35","363.07M","0.97%"
"06/14/2016","320.53","325.26","325.26","320.53","408.48M","-1.92%"
"06/13/2016","326.80","331.09","331.09","326.69","323.55M","-1.84%"
"06/10/2016","332.92","340.77","340.77","332.70","303.68M","-2.44%"
