Date,Price,Open,High,Low,Vol.,Change %
"Nov 22, 2016",749.3,736.2,754.0,730.6,44.44K,1.79%
"Nov 21, 2016",736.2,728.5,744.3,726.5,32.51K,1.05%
"Nov 20, 2016",728.5,747.9,752.3,712.8,47.42K,-2.59%
"Nov 19, 2016",747.9,747.0,755.3,737.4,25.63K,0.12%
"Nov 18, 2016",747.0,737.5,751.4,731.0,39.71K,1.28%
"Nov 17, 2016",737.5,740.3,751.9,730.1,62.77K,-0.37%
"Nov 16, 2016",740.3,711.1,746.0,708.1,79.57K,4.10%
"Nov 15, 2016",711.1,704.6,716.9,697.9,41.40K,0.93%
"Nov 14, 2016",704.6,702.0,708.0,696.1,37.75K,0.37%
"Nov 13, 2016",702.0,704.3,705.6,685.0,36.14K,-0.33%
"Nov 12, 2016",704.3,715.0,717.4,701.1,27.60K,-1.50%
"Nov 11, 2016",715.0,714.6,719.8,711.7,25.58K,0.06%
"Nov 10, 2016",714.6,721.4,723.0,707.3,33.33K,-0.95%
"Nov 09, 2016",721.4,710.9,741.2,707.1,70.70K,1.48%
"Nov 08, 2016",710.9,705.4,714.6,701.0,39.73K,0.78%
"Nov 07, 2016",705.4,709.9,711.7,698.3,30.74K,-0.64%
"Nov 06, 2016",709.9,702.1,714.1,697.6,25.81K,1.11%
"Nov 05, 2016",702.1,702.1,706.4,694.0,22.02K,0.00%
"Nov 04, 2016",702.1,684.9,706.6,681.3,48.24K,2.51%
"Nov 03, 2016",684.9,733.5,744.4,670.4,96.41K,-6.63%
"Nov 02, 2016",733.5,726.8,735.8,718.1,39.04K,0.93%
"Nov 01, 2016",726.8,698.7,734.4,695.2,68.07K,4.02%
"Oct 31, 2016",698.7,697.3,707.2,682.2,38.05K,0.20%
"Oct 30, 2016",697.3,715.0,714.9,689.5,39.33K,-2.47%
"Oct 29, 2016",715.0,686.2,720.2,685.2,54.03K,4.18%
"Oct 28, 2016",686.2,682.3,688.4,678.6,38.97K,0.58%
"Oct 27, 2016",682.3,674.7,687.9,672.3,46.56K,1.13%
"Oct 26, 2016",674.7,651.0,678.4,651.4,47.67K,3.64%
"Oct 25, 2016",651.0,650.5,662.5,647.7,36.74K,0.08%
"Oct 24, 2016",650.5,653.0,654.3,645.7,33.24K,-0.39%
"Oct 23, 2016",653.0,655.5,661.2,648.8,21.91K,-0.37%
"Oct 22, 2016",655.5,630.5,659.9,629.7,37.10K,3.97%
"Oct 21, 2016",630.5,628.3,633.3,627.6,28.09K,0.34%
"Oct 20, 2016",628.3,629.1,630.8,625.5,20.94K,-0.11%
